id,title,year,views,detail_link,thumbnail_url,cast,youtube_id,description
1987,Mr. X,2011,131,https://yageru.com/info.php?pID=1987&movNM=Mr. X,https://yageru.com/images/yt_movies/low_res/m1987.jpg,"[{""name"": ""Netsanet Workneh"", ""profile_image"": ""https://yageru.com/images/artists/a34.jpg""}, {""name"": ""Rahel Girma"", ""profile_image"": ""https://yageru.com/images/artists/a315.jpg""}, {""name"": ""Bayush Kebede (Mitu)"", ""profile_image"": ""https://yageru.com/images/artists/a115.jpg""}, {""name"": ""Etaferahu Mebratu"", ""profile_image"": ""https://yageru.com/images/artists/a148.jpg""}]",WwyTcDJLgCA,N/A
1986,Yadege Bekel,2025,72,https://yageru.com/info.php?pID=1986&movNM=Yadege Bekel,https://yageru.com/images/yt_movies/low_res/m1986.jpg,"[{""name"": ""Million Birhane"", ""profile_image"": ""https://yageru.com/images/artists/a200.jpg""}]",m_UP-ANv8DQ,N/A
1985,Latimeles,2025,67,https://yageru.com/info.php?pID=1985&movNM=Latimeles,https://yageru.com/images/yt_movies/low_res/m1985.jpg,"[{""name"": ""Million Birhane"", ""profile_image"": ""https://yageru.com/images/artists/a200.jpg""}, {""name"": ""Makbel Henok"", ""profile_image"": ""https://yageru.com/images/artists/a199.jpg""}]",HVUtx2A1iwg,N/A
1984,Alazar,2025,74,https://yageru.com/info.php?pID=1984&movNM=Alazar,https://yageru.com/images/yt_movies/low_res/m1984.jpg,"[{""name"": ""Henok Berihun"", ""profile_image"": ""https://yageru.com/images/artists/a250.jpg""}, {""name"": ""Metasebia Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a66.jpg""}, {""name"": ""Yimer Abate"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Mahlet Fekadu"", ""profile_image"": ""https://yageru.com/images/artists/a143.jpg""}, {""name"": ""Samson Girma"", ""profile_image"": ""https://yageru.com/images/artists/a265.jpg""}]",NEAcSmXwofQ,N/A
1983,Lijen Adera,2025,59,https://yageru.com/info.php?pID=1983&movNM=Lijen Adera,https://yageru.com/images/yt_movies/low_res/m1983.jpg,"[{""name"": ""Fanta Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a245.jpg""}, {""name"": ""Meseret Gulilat"", ""profile_image"": ""https://yageru.com/images/artists/a388.jpg""}]",WgI6Ibqxke0,N/A
1982,Doff,2024,58,https://yageru.com/info.php?pID=1982&movNM=Doff,https://yageru.com/images/yt_movies/low_res/m1982.jpg,"[{""name"": ""Thomas Tora"", ""profile_image"": ""https://yageru.com/images/artists/a272.jpg""}, {""name"": ""Dawit Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a372.jpg""}]",H7HV44jte1s,N/A
1981,Baneshal,2024,70,https://yageru.com/info.php?pID=1981&movNM=Baneshal,https://yageru.com/images/yt_movies/low_res/m1981.jpg,"[{""name"": ""Eyob Dawit"", ""profile_image"": ""https://yageru.com/images/artists/a1.jpg""}, {""name"": ""Yeabsira Teklu (Abule)"", ""profile_image"": ""https://yageru.com/images/artists/a125.jpg""}, {""name"": ""Makbel Henok"", ""profile_image"": ""https://yageru.com/images/artists/a199.jpg""}, {""name"": ""Markonal Mubarek"", ""profile_image"": ""https://yageru.com/images/artists/a466.jpg""}]",UVVmpFR8vMQ,N/A
1980,Kegna Belay,2024,45,https://yageru.com/info.php?pID=1980&movNM=Kegna Belay,https://yageru.com/images/yt_movies/low_res/m1980.jpg,"[{""name"": ""Fanta Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a245.jpg""}, {""name"": ""Dawit Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a372.jpg""}, {""name"": ""Melat Temesgen"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Meskerem Amare"", ""profile_image"": ""https://yageru.com/images/artists/a401.jpg""}]",MsWIgv63u_o,N/A
1979,Kayne Sir,2025,41,https://yageru.com/info.php?pID=1979&movNM=Kayne Sir,https://yageru.com/images/yt_movies/low_res/m1979.jpg,"[{""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",kDOJUNSvqm4,N/A
1978,Eyehedk,2022,71,https://yageru.com/info.php?pID=1978&movNM=Eyehedk,https://yageru.com/images/yt_movies/low_res/m1978.jpg,"[{""name"": ""Lydia Tibebu"", ""profile_image"": ""https://yageru.com/images/artists/a304.jpg""}, {""name"": ""Kaleb Arayaselasie"", ""profile_image"": ""https://yageru.com/images/artists/a266.jpg""}, {""name"": ""Haile Asmelash"", ""profile_image"": ""https://yageru.com/images/artists/a271.jpg""}, {""name"": ""Elias Tesfaye"", ""profile_image"": ""https://yageru.com/images/artists/a396.jpg""}]",pL3lIK2zt4Q,N/A
1977,Lib LeLib,2024,42,https://yageru.com/info.php?pID=1977&movNM=Lib LeLib,https://yageru.com/images/yt_movies/low_res/m1977.jpg,"[{""name"": ""Mekonnen Leake"", ""profile_image"": ""https://yageru.com/images/artists/a6.jpg""}, {""name"": ""Alemayehu Belayneh (Alex)"", ""profile_image"": ""https://yageru.com/images/artists/a51.jpg""}, {""name"": ""Henok Tilahun"", ""profile_image"": ""https://yageru.com/images/artists/a385.jpg""}]",RawIaviiia8,N/A
1976,Lante Sil,2025,60,https://yageru.com/info.php?pID=1976&movNM=Lante Sil,https://yageru.com/images/yt_movies/low_res/m1976.jpg,"[{""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Feleke Kassa"", ""profile_image"": ""https://yageru.com/images/artists/a243.jpg""}, {""name"": ""Sami Bedewi"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Betelhem Kumsa"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Bruk Bahiru"", ""profile_image"": ""https://yageru.com/images/artists/a203.jpg""}]",s6gHPLaOqlk,N/A
1975,Wibiye,2025,53,https://yageru.com/info.php?pID=1975&movNM=Wibiye,https://yageru.com/images/yt_movies/low_res/m1975.jpg,"[{""name"": ""Mekonnen Leake"", ""profile_image"": ""https://yageru.com/images/artists/a6.jpg""}, {""name"": ""Eshetu Atnafu"", ""profile_image"": ""https://yageru.com/images/artists/a379.jpg""}, {""name"": ""Yosef Fekede"", ""profile_image"": ""https://yageru.com/images/artists/a194.jpg""}]",cKi4VA9Sn2U,N/A
1974,YeDuriye Tapela,2025,54,https://yageru.com/info.php?pID=1974&movNM=YeDuriye Tapela,https://yageru.com/images/yt_movies/low_res/m1974.jpg,"[{""name"": ""Henok Dinku"", ""profile_image"": ""https://yageru.com/images/artists/a338.jpg""}, {""name"": ""Betelhem Kumsa"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",lCjgaCazyrU,N/A
1973,Yale Wend,2025,206,https://yageru.com/info.php?pID=1973&movNM=Yale Wend,https://yageru.com/images/yt_movies/low_res/m1973.jpg,"[{""name"": ""Yosef Fekede"", ""profile_image"": ""https://yageru.com/images/artists/a194.jpg""}]",m2O9vB6iJvs,N/A
1972,Shibeshi,2025,57,https://yageru.com/info.php?pID=1972&movNM=Shibeshi,https://yageru.com/images/yt_movies/low_res/m1972.jpg,"[{""name"": ""Yohannes Sewinet"", ""profile_image"": ""https://yageru.com/images/artists/a399.jpg""}, {""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Henok Tilahun"", ""profile_image"": ""https://yageru.com/images/artists/a385.jpg""}]",gMZ64wmgQqQ,N/A
1971,Zero Fikir,2024,66,https://yageru.com/info.php?pID=1971&movNM=Zero Fikir,https://yageru.com/images/yt_movies/low_res/m1971.jpg,"[{""name"": ""Dawit Abate"", ""profile_image"": ""https://yageru.com/images/artists/a114.jpg""}, {""name"": ""Feven Ketema"", ""profile_image"": ""https://yageru.com/images/artists/a97.jpg""}, {""name"": ""Demise Beyene"", ""profile_image"": ""https://yageru.com/images/artists/a153.jpg""}]",wOrW7vBwZNM,N/A
1970,Yegna Neger,2025,94,https://yageru.com/info.php?pID=1970&movNM=Yegna Neger,https://yageru.com/images/yt_movies/low_res/m1970.jpg,"[{""name"": ""Engdasew Habte (Teddy)"", ""profile_image"": ""https://yageru.com/images/artists/a21.jpg""}, {""name"": ""Natay Getachew"", ""profile_image"": ""https://yageru.com/images/artists/a77.jpg""}, {""name"": ""Marta Goitom"", ""profile_image"": ""https://yageru.com/images/artists/a46.jpg""}, {""name"": ""Nuhamin Meseret"", ""profile_image"": ""https://yageru.com/images/artists/a427.jpg""}]",b4MEl7aYh8c,N/A
1969,Yebalager Fikir,2025,45,https://yageru.com/info.php?pID=1969&movNM=Yebalager Fikir,https://yageru.com/images/yt_movies/low_res/m1969.jpg,"[{""name"": ""Yosef Fekede"", ""profile_image"": ""https://yageru.com/images/artists/a194.jpg""}, {""name"": ""Bezanesh Ayalew"", ""profile_image"": ""https://yageru.com/images/artists/a395.jpg""}, {""name"": ""Eshetu Atnafu"", ""profile_image"": ""https://yageru.com/images/artists/a379.jpg""}]",sElMD5ayLzM,N/A
1968,Techawach Nech,2025,45,https://yageru.com/info.php?pID=1968&movNM=Techawach Nech,https://yageru.com/images/yt_movies/low_res/m1968.jpg,"[{""name"": ""Tewodros Kifle"", ""profile_image"": ""https://yageru.com/images/artists/a193.jpg""}, {""name"": ""Biniam Birhanu"", ""profile_image"": ""https://yageru.com/images/artists/a284.jpg""}, {""name"": ""Saron Bekele"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",9pWgW2ZZY6I,N/A
1967,Senpir,2024,45,https://yageru.com/info.php?pID=1967&movNM=Senpir,https://yageru.com/images/yt_movies/low_res/m1967.jpg,"[{""name"": ""Yosef Fekede"", ""profile_image"": ""https://yageru.com/images/artists/a194.jpg""}, {""name"": ""Daniel Gebeyehu (Africa)"", ""profile_image"": ""https://yageru.com/images/artists/a225.jpg""}, {""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",P7AXxz3pbzk,N/A
1966,Yegeter Mist,2024,17,https://yageru.com/info.php?pID=1966&movNM=Yegeter Mist,https://yageru.com/images/yt_movies/low_res/m1966.jpg,"[{""name"": ""Yohannes Sewinet"", ""profile_image"": ""https://yageru.com/images/artists/a399.jpg""}, {""name"": ""Mahider Asegid"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}, {""name"": ""Markonal Mubarek"", ""profile_image"": ""https://yageru.com/images/artists/a466.jpg""}]",3gcObplTQ8Y,N/A
1965,Shegitu 2,2024,9,https://yageru.com/info.php?pID=1965&movNM=Shegitu 2,https://yageru.com/images/yt_movies/low_res/m1965.jpg,"[{""name"": ""Yosef Fekede"", ""profile_image"": ""https://yageru.com/images/artists/a194.jpg""}, {""name"": ""Dawit Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a372.jpg""}, {""name"": ""Saron Bekele"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",rWOU_4wWgZw,N/A
1964,Bale Kirar,2024,31,https://yageru.com/info.php?pID=1964&movNM=Bale Kirar,https://yageru.com/images/yt_movies/low_res/m1964.jpg,"[{""name"": ""Engdasew Habte (Teddy)"", ""profile_image"": ""https://yageru.com/images/artists/a21.jpg""}, {""name"": ""Lydia Moges"", ""profile_image"": ""https://yageru.com/images/artists/a290.jpg""}, {""name"": ""Tamiru Berhanu"", ""profile_image"": ""https://yageru.com/images/artists/a168.jpg""}, {""name"": ""Marta Abay"", ""profile_image"": ""https://yageru.com/images/artists/a257.jpg""}, {""name"": ""Andualem Dejene"", ""profile_image"": ""https://yageru.com/images/artists/a380.jpg""}, {""name"": ""Almaz Abebe"", ""profile_image"": ""https://yageru.com/images/artists/a96.jpg""}, {""name"": ""Bezawit Berachew"", ""profile_image"": ""https://yageru.com/images/artists/blanka.jpg""}]",WIJU3F5Vrmc,N/A
